Class,CBO,LOC,OCavg,RFC,WMC
2.0.27-org.apache.pdfbox.contentstream.operator.text.SetTextLeading,12,28,2,9,4
2.0.27-org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,14,34,2.5,11,5
2.0.27-org.apache.pdfbox.contentstream.operator.text.SetTextRise,11,28,2,8,4
2.0.27-org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,11,28,2,8,4
2.0.27-org.apache.pdfbox.contentstream.operator.text.ShowText,8,35,2.5,7,5
2.0.27-org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,8,33,2.5,6,5
2.0.27-org.apache.pdfbox.contentstream.operator.text.ShowTextLine,7,19,1,3,2
2.0.27-org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,8,24,1.5,6,3
2.0.27-org.apache.pdfbox.cos.COSArray,237,519,1.68,67,67
2.0.27-org.apache.pdfbox.cos.COSBase,324,52,1,5,4
2.0.27-org.apache.pdfbox.cos.COSBoolean,24,114,1.38,12,11
2.0.27-org.apache.pdfbox.cos.COSDictionary,450,"1,467",1.53,155,158
2.0.27-org.apache.pdfbox.cos.COSDocument,75,583,1.79,81,68
2.0.27-org.apache.pdfbox.cos.COSFloat,55,195,1.69,36,22
2.0.27-org.apache.pdfbox.cos.COSInputStream,10,97,2.2,21,11
2.0.27-org.apache.pdfbox.cos.COSInteger,58,186,1.23,17,16
2.0.27-org.apache.pdfbox.cos.COSName,446,731,1.5,25,18
2.0.27-org.apache.pdfbox.cos.COSNull,22,53,1,6,4
2.0.27-org.apache.pdfbox.cos.COSNumber,90,112,6,15,12
2.0.27-org.apache.pdfbox.cos.COSObject,57,175,1.19,20,19
2.0.27-org.apache.pdfbox.cos.COSObjectKey,21,113,1.56,13,14
2.0.27-org.apache.pdfbox.cos.COSOutputStream,8,146,2.33,25,14
2.0.27-org.apache.pdfbox.cos.COSStream,116,374,1.62,54,42
2.0.27-org.apache.pdfbox.cos.COSString,71,221,1.79,40,25
2.0.27-org.apache.pdfbox.cos.COSUpdateInfo,0,0,0,2,0
2.0.27-org.apache.pdfbox.cos.ICOSVisitor,0,0,0,10,0
2.0.27-org.apache.pdfbox.cos.PDFDocEncoding,2,135,2.6,16,13
2.0.27-org.apache.pdfbox.cos.UnmodifiableCOSDictionary,1,32,1,6,3
2.0.27-org.apache.pdfbox.filter.ASCII85Filter,7,33,1,9,2
2.0.27-org.apache.pdfbox.filter.ASCII85InputStream,1,240,3.22,13,29
2.0.27-org.apache.pdfbox.filter.ASCII85OutputStream,1,207,2.67,14,24
2.0.27-org.apache.pdfbox.filter.ASCIIHexFilter,5,101,2.75,11,11
2.0.27-org.apache.pdfbox.filter.CCITTFaxDecoderStream,6,581,5,31,85
2.0.27-org.apache.pdfbox.filter.CCITTFaxDecoderStream.Node,2,22,1.67,3,5
2.0.27-org.apache.pdfbox.filter.CCITTFaxDecoderStream.Tree,2,54,6,5,12
2.0.27-org.apache.pdfbox.filter.CCITTFaxEncoderStream,5,244,3.71,18,52
2.0.27-org.apache.pdfbox.filter.CCITTFaxEncoderStream.Code,1,8,1,1,1
2.0.27-org.apache.pdfbox.filter.CCITTFaxFilter,11,122,3.5,19,14
2.0.27-org.apache.pdfbox.filter.CryptFilter,6,37,2,9,4
2.0.27-org.apache.pdfbox.filter.DCTFilter,6,333,3.9,67,39
2.0.27-org.apache.pdfbox.filter.DecodeOptions,12,177,1,18,16
2.0.27-org.apache.pdfbox.filter.DecodeOptions.FinalDecodeOptions,1,40,1,9,7
2.0.27-org.apache.pdfbox.filter.DecodeResult,17,43,1,6,5
2.0.27-org.apache.pdfbox.filter.Filter,30,137,2.17,28,13
2.0.27-org.apache.pdfbox.filter.FilterFactory,21,73,1.25,10,5
2.0.27-org.apache.pdfbox.filter.FlateFilter,6,101,2.67,27,8
2.0.27-org.apache.pdfbox.filter.IdentityFilter,5,25,1,5,2
2.0.27-org.apache.pdfbox.filter.JBIG2Filter,8,116,3,47,12
2.0.27-org.apache.pdfbox.filter.JPXFilter,9,148,4,50,16
2.0.27-org.apache.pdfbox.filter.LZWFilter,7,251,4,31,28
2.0.27-org.apache.pdfbox.filter.MissingImageReaderException,3,16,1,2,1
2.0.27-org.apache.pdfbox.filter.Predictor,7,217,5.83,11,35
2.0.27-org.apache.pdfbox.filter.Predictor.PredictorOutputStream,2,106,1.57,16,11
2.0.27-org.apache.pdfbox.filter.RunLengthDecodeFilter,5,57,4,9,8
2.0.27-org.apache.pdfbox.filter.TIFFExtension,0,0,0,0,0
2.0.27-org.apache.pdfbox.io.IOUtils,110,113,1.83,13,11
2.0.27-org.apache.pdfbox.io.MemoryUsageSetting,10,234,1.76,17,30
2.0.27-org.apache.pdfbox.io.RandomAccess,0,0,0,0,0
2.0.27-org.apache.pdfbox.io.RandomAccessBuffer,9,468,2.15,37,56
2.0.27-org.apache.pdfbox.io.RandomAccessBufferedFileInputStream,8,293,1.81,39,38
2.0.27-org.apache.pdfbox.io.RandomAccessFile,5,140,1.11,33,21
2.0.27-org.apache.pdfbox.io.RandomAccessInputStream,4,90,1.83,14,11
2.0.27-org.apache.pdfbox.io.RandomAccessOutputStream,5,35,1,7,4
2.0.27-org.apache.pdfbox.io.RandomAccessRead,0,0,0,12,0
2.0.27-org.apache.pdfbox.io.RandomAccessWrite,0,0,0,4,0
2.0.27-org.apache.pdfbox.io.ScratchFile,14,451,3.85,59,50
2.0.27-org.apache.pdfbox.io.ScratchFileBuffer,4,442,2.23,37,49
2.0.27-org.apache.pdfbox.io.SequentialRead,0,0,0,3,0
2.0.27-org.apache.pdfbox.multipdf.LayerUtility,23,249,2.88,84,23
2.0.27-org.apache.pdfbox.multipdf.Overlay,17,653,2.58,121,93
2.0.27-org.apache.pdfbox.multipdf.Overlay.LayoutPage,4,17,1,1,1
2.0.27-org.apache.pdfbox.multipdf.Overlay.Position,2,7,0,2,0
2.0.27-org.apache.pdfbox.multipdf.PDFCloneUtility,13,262,7.6,39,38
2.0.27-org.apache.pdfbox.multipdf.PDFMergerUtility,54,"1,449",4.28,241,201
2.0.27-org.apache.pdfbox.multipdf.PDFMergerUtility.AcroFormMergeMode,2,20,0,2,0
2.0.27-org.apache.pdfbox.multipdf.PDFMergerUtility.DocumentMergeMode,1,20,0,2,0
2.0.27-org.apache.pdfbox.multipdf.PageExtractor,6,95,1.29,22,9
2.0.27-org.apache.pdfbox.multipdf.Splitter,16,265,2.29,52,32
2.0.27-org.apache.pdfbox.pdfparser.BaseParser,21,"1,263",3.71,100,156
2.0.27-org.apache.pdfbox.pdfparser.COSParser,34,"2,835",5.87,231,364
2.0.27-org.apache.pdfbox.pdfparser.EndstreamOutputStream,2,113,5,7,15
2.0.27-org.apache.pdfbox.pdfparser.FDFParser,11,145,2.14,29,15
2.0.27-org.apache.pdfbox.pdfparser.InputStreamSource,6,112,1.42,21,17
2.0.27-org.apache.pdfbox.pdfparser.PDFObjectStreamParser,13,118,2.8,30,14
2.0.27-org.apache.pdfbox.pdfparser.PDFParser,14,192,1.8,37,18
2.0.27-org.apache.pdfbox.pdfparser.PDFStreamParser,29,393,4.91,59,54
2.0.27-org.apache.pdfbox.pdfparser.PDFXRef,0,0,0,1,0
2.0.27-org.apache.pdfbox.pdfparser.PDFXRefStream,16,277,3.27,45,36
2.0.27-org.apache.pdfbox.pdfparser.PDFXRefStream.FreeReference,1,9,0,0,0
2.0.27-org.apache.pdfbox.pdfparser.PDFXRefStream.NormalReference,1,9,0,0,0
2.0.27-org.apache.pdfbox.pdfparser.PDFXRefStream.ObjectStreamReference,1,9,0,0,0
2.0.27-org.apache.pdfbox.pdfparser.PDFXrefStreamParser,13,128,3.6,25,18
2.0.27-org.apache.pdfbox.pdfparser.PDFXrefStreamParser.ObjectNumbers,5,65,2.5,12,10
2.0.27-org.apache.pdfbox.pdfparser.RandomAccessSource,6,71,1,21,12
2.0.27-org.apache.pdfbox.pdfparser.SequentialSource,0,0,0,10,0
2.0.27-org.apache.pdfbox.pdfparser.XrefTrailerResolver,10,270,2.54,44,33
2.0.27-org.apache.pdfbox.pdfparser.XrefTrailerResolver.XRefType,4,14,0,2,0
2.0.27-org.apache.pdfbox.pdfparser.XrefTrailerResolver.XrefTrailerObj,4,20,1,4,2
2.0.27-org.apache.pdfbox.pdfwriter.COSStandardOutputStream,1,145,1.09,15,12
2.0.27-org.apache.pdfbox.pdfwriter.COSWriter,41,"1,343",2.9,183,148
2.0.27-org.apache.pdfbox.pdfwriter.COSWriterXRefEntry,5,133,1.27,13,14
2.0.27-org.apache.pdfbox.pdfwriter.ContentStreamWriter,16,165,3.67,25,22
2.0.27-org.apache.pdfbox.pdmodel.DefaultResourceCache,10,128,1.5,19,21
2.0.27-org.apache.pdfbox.pdmodel.MissingResourceException,4,10,1,2,1
2.0.27-org.apache.pdfbox.pdmodel.PDAbstractContentStream,51,"1,455",1.96,157,163
2.0.27-org.apache.pdfbox.pdmodel.PDAppearanceContentStream,33,245,3.3,33,33
2.0.27-org.apache.pdfbox.pdmodel.PDDestinationNameTreeNode,8,42,1.25,8,5
2.0.27-org.apache.pdfbox.pdmodel.PDDocument,337,"1,582",1.97,220,140
2.0.27-org.apache.pdfbox.pdmodel.PDDocumentCatalog,126,569,1.7,99,75
2.0.27-org.apache.pdfbox.pdmodel.PDDocumentInformation,19,264,1.08,40,27
2.0.27-org.apache.pdfbox.pdmodel.PDDocumentNameDestinationDictionary,9,57,2,7,6
2.0.27-org.apache.pdfbox.pdmodel.PDDocumentNameDictionary,17,138,1.56,17,14
2.0.27-org.apache.pdfbox.pdmodel.PDEmbeddedFilesNameTreeNode,13,34,1,7,4
2.0.27-org.apache.pdfbox.pdmodel.PDFormContentStream,5,18,1,5,1
2.0.27-org.apache.pdfbox.pdmodel.PDJavascriptNameTreeNode,6,38,1.25,8,5
2.0.27-org.apache.pdfbox.pdmodel.PDPage,150,717,1.88,104,92
2.0.27-org.apache.pdfbox.pdmodel.PDPageContentStream,87,"2,365",1.84,232,245
